date,course,atd_start,atd_mid,atd_end,enrolled,temp_tm2,temp_tm1,temp_tm0,weather,uu_new_cases,uu_new_cases_7da
3/28/2022,4400,49,54,53,145.00,64.27,65.19,65.57,Broken Clouds,NA,NA
4/4/2022,4400,50,56,56,145.00,52.75,57.38,59.65,Broken Clouds,NA,NA
4/6/2022,4400,53,54,53,145.00,39.7,41.56,43.05,Few Clouds,NA,NA
1/18/2022,3500,40,41,39,194.00,34,33,37,Mostly Cloudy,153,131.3
1/20/2022,3500,49,53,51,194.00,35.69,37.45,39.24,Haze,99,9
1/25/2022,3500,45,45,48,194.00,NA,NA,NA,NA,52,72
1/27/2022,3500,47,51,50,194.00,NA,NA,NA,NA,52,72
2/1/2022,3500,48,51,44,194.00,30.88,31.69,31.98,Clear Sky,52,72
2/3/2022,3500,57,56,50,194.00,27.01,28.53,29.1,Scattered Clouds,63,34.7
2/8/2022,3500,55,55,52,194.00,43.75,46.02,47.01,Clear Sky,24,30.1
2/10/2022,3500,54,59,56,194.00,45.95,47.44,48.72,Clear Sky,24,30.1
2/15/2022,3500,55,56,54,194.00,47.39,48.87,49.5,Clear Sky,5,17.3
2/17/2022,3500,56,57,56,194.00,36.75,38.03,39.02,Scattered Clouds,15,16.1
2/22/2022,3500,54,55,52,194.00,34.3,34.74,35.02,Broken Clouds,17,13.6
2/24/2022,3500,54,53,52,194.00,26.47,27.23,27.7,Overcast Clouds,17,13.6
3/1/2022,3500,53,51,52,194.00,52.86,55.2,56.97,Clear Sky,8,5.4
3/3/2022,3500,42,45,40,194.00,62.92,65.62,66.87,Broken Clouds,NA,NA
3/15/2022,3500,59,58,52,194.00,53.55,57,59.41,Scattered Clouds,NA,NA
3/22/2022,3500,51,50,48,194.00,45.79,47.97,49.3,Clear Sky,NA,NA
3/24/2022,3500,50,51,42,194.00,60.31,63.23,64.9,Clear Sky,NA,NA
3/29/2022,3500,62,62,58,194.00,53.38,54.55,54.43,Overcast Clouds,NA,NA
3/31/2022,3500,NA,53,49,194.00,41.97,41.67,42.57,Broken Clouds,NA,NA
4/4/2022,3500,58,60,56,194.00,38.97,41.38,42.78,Overcast Clouds,NA,NA
4/12/2022,3500,60,60,59,194.00,33.44,33.62,34.02,Snow,NA,NA
1/24/2022,5140,27,29,29,26.00,36,37,37,Partly Cloudy,124,96
1/26/2022,5140,25,26,24,26.00,33,34,34,Partly Cloudy,48,70.3
1/31/2022,5140,20,22,21,26.00,40,41,39,Partly Cloudy,48,70.3
2/2/2022,5140,25,24,22,26.00,20,20,20,Partly Cloudy,28,46.7
02/07/2022,5140,21,24,24,26.00,41,42,42,Clear,11,30.7
2/9/2022,5140,27,27,19,26.00,45.64,46.9,47.64,Scattered Clouds,24,30.1
2/14/2022,5140,23,25,21,26.00,55.78,56.37,57.02,Broken Clouds,20,22.1
2/16/2022,5140,23,22,11,26.00,32.38,32.76,33.26,Snow,15,16.1
2/23/2022,5140,26,25,15,26.00,23.45,23.72,23.88,Overcast Clouds,17,13.6
2/28/2022,5140,24,28,26,26.00,47.82,48.67,49.77,Few Clouds,8,5.4
3/2/2022,5140,22,20,10,26.00,61.65,62.89,64,Broken Clouds,7,4.6
3/14/2022,5140,26,28,26,26.00,47.34,47.5,48.9,Shower Rain,NA,NA
3/21/2022,5140,25,25,24,26.00,41.11,42.44,43.16,Scattered Clouds,NA,NA
3/23/2022,5140,22,22,17,26.00,54.23,55.22,57.22,Few Clouds,NA,NA
